127.0.0.1 - - [06/Nov/2023:20:22:21 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Nov/2023:20:22:21 +0700] "GET /Lab5/Lab5_2/Lab5_2.jsp HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [06/Nov/2023:20:22:21 +0700] "GET /Lab5/Lab5_2/Lab5_2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:20:22:21 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Nov/2023:20:22:27 +0700] "POST /Lab5/Lab5_2/ProcessLab5_2.jsp HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [06/Nov/2023:20:22:36 +0700] "POST /Lab5/Lab5_2/ProcessLab5_2.jsp HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [06/Nov/2023:20:22:37 +0700] "POST /Lab5/Lab5_2/ProcessLab5_2.jsp HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [06/Nov/2023:20:22:47 +0700] "POST /Lab5/Lab5_2/ProcessLab5_2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:20:22:47 +0700] "GET /Lab5/Lab5_2/ShowLab5_2.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [06/Nov/2023:20:22:50 +0700] "GET /Lab5/Lab5_2/ShowLab5_2.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [06/Nov/2023:20:22:51 +0700] "GET /Lab5/Lab5_2/ShowLab5_2.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [06/Nov/2023:20:22:59 +0700] "GET /Lab5/Lab5_2/ShowLab5_2.jsp HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [06/Nov/2023:20:23:03 +0700] "GET /Lab5/Lab5_2/ShowLab5_2.jsp HTTP/1.1" 200 126
